,Class,ID,Utterance
0,anger,dia146_utt3.wav,think you know me so well
1,anger,dia468_utt1.wav,you wonder a strictler for the shales tit is totally anabropria
2,anger,dia529_utt0.wav,i think she's trying to make something happen with you to get back at me
3,anger,dia46_utt6.wav,m on partment oot apartment noingi don't wait as i w
4,anger,dia7_utt1.wav,what to what is with everybody it's thanksgiving not
5,anger,dia928_utt4.wav,my dear
6,anger,dia853_utt3.wav,could have been killed i hepe you know
7,anger,dia809_utt14.wav,no no one can beat me
8,anger,dia296_utt5.wav,alsos o dodshed  good she aaaa awort up so was for dispiting por
9,anger,dia720_utt9.wav,equiet de tin
10,anger,dia395_utt0.wav,on it met it that was the best nap you ever had
11,anger,dia374_utt12.wav,we hare celebrate our love for each other
12,anger,dia615_utt11.wav,monaca with that snorton was she
13,anger,dia78_utt1.wav,i don't like sitting up here my tompe
14,anger,dia538_utt0.wav,skid er to sellin she hate to y
15,anger,dia670_utt3.wav,y ga
16,anger,dia287_utt4.wav,i know but her friend sounds like such a pathetic mess and oll it
17,anger,dia115_utt4.wav,nobody sees the ka
18,anger,dia389_utt1.wav,
19,anger,dia84_utt2.wav,a merrye ailer
20,anger,dia794_utt2.wav,look look your daughter and i are spose to leave to night for a humming moon now now you you tell her that i'm going to be at that airport and i hope that she'll be there too o
21,anger,dia445_utt14.wav,stay con and youxpect me to stay
22,anger,dia761_utt4.wav,ither thatmet
23,anger,dia272_utt2.wav,no iam im not talk any you you go back to sleep and you are your rabest gonel
24,anger,dia700_utt8.wav,even withit ass
25,anger,dia983_utt5.wav,no not the minister i  a put umh both on the fore now marryan right an i
26,anger,dia298_utt6.wav,
27,anger,dia666_utt11.wav,the fat kine
28,anger,dia388_utt16.wav,and it's nive if we can put it back there after the surgeon's remote from your calling
29,anger,dia874_utt6.wav,
30,anger,dia206_utt9.wav,ithat it it i would but him out moo
31,anger,dia431_utt6.wav,ong leps do iyes an we no wery way wif the char
32,anger,dia996_utt8.wav,he pwink o pence at may
33,anger,dia646_utt9.wav,mi pathetically
34,anger,dia256_utt11.wav,i get out
35,anger,dia89_utt11.wav,on
36,anger,dia377_utt6.wav,e vrd over overs i li e tratur
37,anger,dia644_utt9.wav,oh so hard we had to throw out your under where again
38,anger,dia276_utt2.wav,
39,anger,dia206_utt15.wav,take some mine
40,anger,dia445_utt18.wav,that it
41,anger,dia532_utt7.wav,now you are telling me i
42,anger,dia436_utt2.wav,at ot f the wor i jag yars
43,anger,dia248_utt7.wav,teller hit is hunging the game h ceares i stoopin
44,anger,dia644_utt2.wav,did you not hear me say do wud
45,anger,dia1017_utt9.wav,del kae i admitted
46,anger,dia138_utt11.wav,t all because i got so freighed out i hung up the fun well if you would get lissnin
47,anger,dia592_utt3.wav,las janus
48,anger,dia395_utt5.wav,ah like fat it old jang but it's all for joy
49,anger,dia280_utt1.wav,exactly because it's in the past
50,anger,dia758_utt5.wav,r tat's my joh hamin
51,anger,dia873_utt5.wav,oh i'm still mad of them but i also know that they bring happiness to lots of kitses moms didnt kill themselves no so i supporting them i'm doing a good thing but i'm not happy about it
52,anger,dia869_utt2.wav,
53,anger,dia763_utt7.wav,o one e
54,anger,dia770_utt16.wav,what did you say
55,anger,dia542_utt1.wav,some idiot customer pt a suggestion in hi suggestion on
